,filename,class_name,class_number,fold,path
0,0001.png,airplane,0,0,../data/cifar10/train/airplane/0001.png
1,0002.png,airplane,0,8,../data/cifar10/train/airplane/0002.png
2,0003.png,airplane,0,8,../data/cifar10/train/airplane/0003.png
3,0004.png,airplane,0,9,../data/cifar10/train/airplane/0004.png
4,0005.png,airplane,0,3,../data/cifar10/train/airplane/0005.png
5,0006.png,airplane,0,9,../data/cifar10/train/airplane/0006.png
6,0007.png,airplane,0,0,../data/cifar10/train/airplane/0007.png
7,0008.png,airplane,0,4,../data/cifar10/train/airplane/0008.png
8,0009.png,airplane,0,5,../data/cifar10/train/airplane/0009.png
9,0010.png,airplane,0,4,../data/cifar10/train/airplane/0010.png
10,0011.png,airplane,0,9,../data/cifar10/train/airplane/0011.png
11,0012.png,airplane,0,9,../data/cifar10/train/airplane/0012.png
12,0013.png,airplane,0,2,../data/cifar10/train/airplane/0013.png
13,0014.png,airplane,0,7,../data/cifar10/train/airplane/0014.png
14,0015.png,airplane,0,9,../data/cifar10/train/airplane/0015.png
15,0016.png,airplane,0,0,../data/cifar10/train/airplane/0016.png
16,0017.png,airplane,0,4,../data/cifar10/train/airplane/0017.png
17,0018.png,airplane,0,0,../data/cifar10/train/airplane/0018.png
18,0019.png,airplane,0,5,../data/cifar10/train/airplane/0019.png
19,0020.png,airplane,0,2,../data/cifar10/train/airplane/0020.png
20,0021.png,airplane,0,0,../data/cifar10/train/airplane/0021.png
21,0022.png,airplane,0,9,../data/cifar10/train/airplane/0022.png
22,0023.png,airplane,0,1,../data/cifar10/train/airplane/0023.png
23,0024.png,airplane,0,6,../data/cifar10/train/airplane/0024.png
24,0025.png,airplane,0,1,../data/cifar10/train/airplane/0025.png
25,0026.png,airplane,0,3,../data/cifar10/train/airplane/0026.png
26,0027.png,airplane,0,0,../data/cifar10/train/airplane/0027.png
27,0028.png,airplane,0,0,../data/cifar10/train/airplane/0028.png
28,0029.png,airplane,0,9,../data/cifar10/train/airplane/0029.png
29,0030.png,airplane,0,3,../data/cifar10/train/airplane/0030.png
30,0031.png,airplane,0,2,../data/cifar10/train/airplane/0031.png
31,0032.png,airplane,0,1,../data/cifar10/train/airplane/0032.png
32,0033.png,airplane,0,9,../data/cifar10/train/airplane/0033.png
33,0034.png,airplane,0,8,../data/cifar10/train/airplane/0034.png
34,0035.png,airplane,0,4,../data/cifar10/train/airplane/0035.png
35,0036.png,airplane,0,4,../data/cifar10/train/airplane/0036.png
36,0037.png,airplane,0,6,../data/cifar10/train/airplane/0037.png
37,0038.png,airplane,0,7,../data/cifar10/train/airplane/0038.png
38,0039.png,airplane,0,8,../data/cifar10/train/airplane/0039.png
39,0040.png,airplane,0,6,../data/cifar10/train/airplane/0040.png
40,0041.png,airplane,0,1,../data/cifar10/train/airplane/0041.png
41,0042.png,airplane,0,0,../data/cifar10/train/airplane/0042.png
42,0043.png,airplane,0,0,../data/cifar10/train/airplane/0043.png
43,0044.png,airplane,0,5,../data/cifar10/train/airplane/0044.png
44,0045.png,airplane,0,3,../data/cifar10/train/airplane/0045.png
45,0046.png,airplane,0,6,../data/cifar10/train/airplane/0046.png
46,0047.png,airplane,0,9,../data/cifar10/train/airplane/0047.png
47,0048.png,airplane,0,0,../data/cifar10/train/airplane/0048.png
48,0049.png,airplane,0,0,../data/cifar10/train/airplane/0049.png
49,0050.png,airplane,0,7,../data/cifar10/train/airplane/0050.png
50,0051.png,airplane,0,1,../data/cifar10/train/airplane/0051.png
51,0052.png,airplane,0,2,../data/cifar10/train/airplane/0052.png
52,0053.png,airplane,0,8,../data/cifar10/train/airplane/0053.png
53,0054.png,airplane,0,5,../data/cifar10/train/airplane/0054.png
54,0055.png,airplane,0,7,../data/cifar10/train/airplane/0055.png
55,0056.png,airplane,0,9,../data/cifar10/train/airplane/0056.png
56,0057.png,airplane,0,7,../data/cifar10/train/airplane/0057.png
57,0058.png,airplane,0,0,../data/cifar10/train/airplane/0058.png
58,0059.png,airplane,0,6,../data/cifar10/train/airplane/0059.png
59,0060.png,airplane,0,9,../data/cifar10/train/airplane/0060.png
60,0061.png,airplane,0,3,../data/cifar10/train/airplane/0061.png
61,0062.png,airplane,0,4,../data/cifar10/train/airplane/0062.png
62,0063.png,airplane,0,0,../data/cifar10/train/airplane/0063.png
63,0064.png,airplane,0,7,../data/cifar10/train/airplane/0064.png
64,0065.png,airplane,0,3,../data/cifar10/train/airplane/0065.png
65,0066.png,airplane,0,9,../data/cifar10/train/airplane/0066.png
66,0067.png,airplane,0,2,../data/cifar10/train/airplane/0067.png
67,0068.png,airplane,0,2,../data/cifar10/train/airplane/0068.png
68,0069.png,airplane,0,4,../data/cifar10/train/airplane/0069.png
69,0070.png,airplane,0,1,../data/cifar10/train/airplane/0070.png
70,0071.png,airplane,0,6,../data/cifar10/train/airplane/0071.png
71,0072.png,airplane,0,7,../data/cifar10/train/airplane/0072.png
72,0073.png,airplane,0,0,../data/cifar10/train/airplane/0073.png
73,0074.png,airplane,0,9,../data/cifar10/train/airplane/0074.png
74,0075.png,airplane,0,4,../data/cifar10/train/airplane/0075.png
75,0076.png,airplane,0,8,../data/cifar10/train/airplane/0076.png
76,0077.png,airplane,0,8,../data/cifar10/train/airplane/0077.png
77,0078.png,airplane,0,7,../data/cifar10/train/airplane/0078.png
78,0079.png,airplane,0,4,../data/cifar10/train/airplane/0079.png
79,0080.png,airplane,0,1,../data/cifar10/train/airplane/0080.png
80,0081.png,airplane,0,9,../data/cifar10/train/airplane/0081.png
81,0082.png,airplane,0,4,../data/cifar10/train/airplane/0082.png
82,0083.png,airplane,0,5,../data/cifar10/train/airplane/0083.png
83,0084.png,airplane,0,9,../data/cifar10/train/airplane/0084.png
84,0085.png,airplane,0,1,../data/cifar10/train/airplane/0085.png
85,0086.png,airplane,0,6,../data/cifar10/train/airplane/0086.png
86,0087.png,airplane,0,5,../data/cifar10/train/airplane/0087.png
87,0088.png,airplane,0,4,../data/cifar10/train/airplane/0088.png
88,0089.png,airplane,0,1,../data/cifar10/train/airplane/0089.png
89,0090.png,airplane,0,0,../data/cifar10/train/airplane/0090.png
90,0091.png,airplane,0,2,../data/cifar10/train/airplane/0091.png
91,0092.png,airplane,0,7,../data/cifar10/train/airplane/0092.png
92,0093.png,airplane,0,2,../data/cifar10/train/airplane/0093.png
93,0094.png,airplane,0,9,../data/cifar10/train/airplane/0094.png
94,0095.png,airplane,0,3,../data/cifar10/train/airplane/0095.png
95,0096.png,airplane,0,7,../data/cifar10/train/airplane/0096.png
96,0097.png,airplane,0,1,../data/cifar10/train/airplane/0097.png
97,0098.png,airplane,0,1,../data/cifar10/train/airplane/0098.png
98,0099.png,airplane,0,3,../data/cifar10/train/airplane/0099.png
99,0100.png,airplane,0,7,../data/cifar10/train/airplane/0100.png
100,0101.png,airplane,0,5,../data/cifar10/train/airplane/0101.png
101,0102.png,airplane,0,9,../data/cifar10/train/airplane/0102.png
102,0103.png,airplane,0,7,../data/cifar10/train/airplane/0103.png
103,0104.png,airplane,0,5,../data/cifar10/train/airplane/0104.png
104,0105.png,airplane,0,1,../data/cifar10/train/airplane/0105.png
105,0106.png,airplane,0,6,../data/cifar10/train/airplane/0106.png
106,0107.png,airplane,0,0,../data/cifar10/train/airplane/0107.png
107,0108.png,airplane,0,5,../data/cifar10/train/airplane/0108.png
108,0109.png,airplane,0,5,../data/cifar10/train/airplane/0109.png
109,0110.png,airplane,0,8,../data/cifar10/train/airplane/0110.png
